Session,Time,Duration,Room,Speaker,Affiliation,Title
AK-1: Kinetic AlfvenWave and Dipole,09:30,25,410,Liu Chen,"University of California, Irvine",Physics of Kinetic Alfvén Wave: History and Progresses
AK-1: Kinetic AlfvenWave and Dipole,09:55,25,410,Fulvio Zonca,Center for Nonlinear Plasma Science and ENEA C.R. Frascati,The role of kinetic Alfvén waves in burning plasma self-organization
AK-1: Kinetic AlfvenWave and Dipole,10:20,25,410,Troy Carter,Oak Ridge National Laboratory,Parametric Instabilities of Alfvén Waves in the Laboratory: Connecting Theory and Experiment on LAPD
AK-1: Kinetic AlfvenWave and Dipole,10:45,25,410,Zensho Yoshida,University of Tokyo,Dipole Confinement
AK-1: Kinetic AlfvenWave and Dipole,11:10,25,410,Mikchael Mauel,Columbia University,Remembering Akira Hasegawa at Columbia University: Building Dipoles for Physics and Fusion
AK-1: Kinetic AlfvenWave and Dipole,11:35,25,410,Alex Simpson,OpenStar Technologies,Tahi: Dipole confinement of fusion-relevant plasmas
A1-1: Sputtering and bottom up process,12:00,20,402+403,Makoto Kambara,The University of Osaka,Optimized nanoparticle formation during plasma spray for enhanced storage capabilities with transfer entropy evaluation
F-1: Reduced models and low-temperature plasmas,12:00,20,414,Giuseppina Nigro,Department of Physics at the University of Rome Tor Vergata,Convective Heat Transfer in Magnetic Field Reversals: Insights from a Low-Dimensional Dynamo Model
A2-1: Plasma Agriculture,12:15,20,405+406,Kazunori Koga,Kyushu University,Transport of reactive species generated by nonthermal plasma through rice seed husk
A1-1: Sputtering and bottom up process,12:20,20,402+403,Hiroshi Furuta,Kochi University of Technology,Shape Control of Carbon Nanotube Forests via Bottom-up Process of Catalyst Nanoparticles
F-1: Reduced models and low-temperature plasmas,12:20,15,414,Syed Talha Rizwan,Government College University,EMIC Waves by Fitting the Observed Plasma Parameters using Cluster Observations
A2-1: Plasma Agriculture,12:35,20,405+406,Kasuo Tsugane,National Institute for Basic Biology,Elucidation of the molecular mechanism of low-temperature plasma treatment for transposon activation
F-1: Reduced models and low-temperature plasmas,12:35,15,414,Zahida Ehsan,"Landau-Feynman Lab for Theoretical Physics, CUI Lahore",The Effects of Dust Size Distribution and Dust Charging on Shock Waves in Non-maxwellain Dust in Tokamak Plasma
A1-1: Sputtering and bottom up process,12:40,20,402+403,Hiroharu Kawasaki,"National Institute of Technology, Sasebo College",Trial of elemental gradient functional thin films preparation by sputtering with mixed powder targets III
F-1: Reduced models and low-temperature plasmas,12:50,15,414,Hafiz Zeeshan Iqbal,Forman Christian College University,"Mode-Locking, Single- and Double-Well Chaos in Periodically Forced Quantum Degenerate Plasmas: Ravelling Unexplored Regimes of the Burgers Paradigm"
A2-1: Plasma Agriculture,12:55,20,405+406,Hiroshi Hashizume,Nagoya Univ.,Effectiveness of cold plasma for rice cultivation at various growth stages
A1-1: Sputtering and bottom up process,13:00,20,402+403,Tamiko Ohshima,Nagasaki University,Single cathode combinatorial deposition using powder target by sputtering process
F-1: Reduced models and low-temperature plasmas,13:05,15,414,Lucky Saikia,Centre of Plasma Physics- Institute for Plasma Research,Discharge-Driven Neutron Generation: Exploration and Application
